values	genotype
0.8849117795304894	KO
-0.6722533761765326	KO
-0.07853548761121526	KO
-0.27281243961043533	KO
-1.279304923360483	KO
-0.8756995450031678	KO
0.5922025706049185	KO
1.4502079282351996	KO
0.32046645502043397	KO
-0.3044289065451415	KO
-0.028722983424626848	KO
-0.40094410600372393	KO
-0.47376075632270614	KO
-0.14006193360275007	KO
0.26030210619981237	KO
-0.6077957098090625	KO
-1.8248652138983812	KO
0.5481418146272696	KO
-1.3665224871669837	KO
-0.44391763324551237	KO
-0.37941774926332733	KO
1.3433603923169812	KO
-0.6728003995065271	KO
0.9164164710068949	KO
-1.0996272839606664	KO
-0.16999494140159405	KO
1.5018831873588994	KO
0.07999251696997885	KO
1.1982604616546961	KO
1.088516734925342	KO
0.07098435779744318	KO
-1.2613223231564272	KO
-0.9939625790282061	KO
0.6400641888557609	KO
-0.25541965433227043	KO
0.09661197757125738	KO
-1.0003711266667696	KO
-0.31466319384380115	KO
-0.41646712210514253	KO
-1.6417701695937779	KO
-0.49476545604540184	KO
-0.029856338186922692	KO
-0.633625530039029	KO
0.7632068178752348	KO
0.7075651317101738	KO
-1.4061410649415473	KO
-1.4440485709461415	KO
-0.9474048146848926	KO
-0.47757943466288016	KO
-0.4024735036767549	KO
-1.9715580560634431	KO
-0.0891766423875911	KO
1.4076830628201114	KO
-1.2154206031184571	KO
1.32411751937962	KO
0.5156287989268559	KO
-0.7417435409085685	KO
-0.8632811485323404	KO
1.3209663924693529	KO
0.6813449119309289	KO
-1.5114704948227178	KO
-0.9055062238847136	KO
-0.8297128417534864	KO
2.2463074221869026	KO
0.02183386566282261	KO
-0.4724973237016352	KO
-1.7711974967083242	KO
0.6573254154228462	KO
-0.5666567804468101	KO
1.1377698476176301	KO
-0.3959664795977416	KO
-0.4395716732566539	KO
1.2901327943387693	KO
0.15860839035947868	KO
-0.8522462509737011	KO
1.172528909644239	KO
0.47232124527702285	KO
-0.16407255242606889	KO
-0.13492671314742924	KO
1.416895099688337	KO
-0.9940545576427658	KO
-0.21856816986568448	KO
2.187947284262896	KO
-0.5222787082366074	KO
-1.0659758462620665	KO
-1.1600305062576863	KO
0.31442996784830995	KO
0.8824859791318385	KO
0.43491707905378996	KO
-0.6146118829266021	KO
-0.11258102528408993	KO
0.3115582164082398	KO
-0.3512819470644308	KO
