WT	KO	difference
-5.10732700811861	-3.293097619103991	1.8142293890146193
1.118103312077576	-1.8541859558299278	-2.972289267907504
-3.9939204063456413	-3.772102532373683	0.22181787397195807
-4.181876470823842	-2.460313650298771	1.721562820525071
-1.9252499589752692	-10.028043014762398	-8.102793055787128
-8.6903772401339765	-2.3798177333480304	6.310559506785946
-0.670162765078426	2.7307874106429524	3.4009501757213783
-1.1507775089367338	-2.585189677206461	-1.434412168269727
-1.9753808309361984	1.8271734795954122	3.802554310531611
-1.0551722119134297	0.3719615332463181	1.4271337451597477
